Year,playerId,season,Name,Team,position,Situation,GP,TOI,XGA,GA,UnblockedSA,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,Year,NameYear,Votes
2008,8448382,2008,Curtis Joseph,TOR,G,all,20,50142,41.08,50,748,27.95,21,88.69,59,412.98,383,15.04,14,226.95,191,174.11,241,39.57,408,127,38,12.01,15.25,13.81,15,18,17,175,0,0,2008,Curtis Joseph2008,0
2008,8448382,2008,Curtis Joseph,TOR,G,5on5,20,38746,27.2,33,578,21.15,15,71.64,50,323.65,300,11.13,8,177.88,149,140.13,194,26.43,329,99,20,9.77,11.76,5.66,13,14,6,130,0,0,2008,Curtis Joseph2008,0
2008,8448382,2008,Curtis Joseph,TOR,G,4on5,20,4432,12.09,16,122,5.54,6,13.1,4,66.76,56,0.27,0,38.27,34,19.38,28,11.38,53,20,18,1.42,2.51,8.15,2,3,11,31,0,0,2008,Curtis Joseph2008,0
2008,8448382,2008,Curtis Joseph,TOR,G,5on4,20,5320,0.46,0,11,0.24,0,0.75,1,6.52,8,3.13,6,1.78,1,6.58,8,0.46,8,2,0,0.18,0.28,0,0,0,0,1,0,0,2008,Curtis Joseph2008,0
2008,8462147,2008,Miikka Kiprusoff,CGY,G,other,76,9487,17.64,16,220,8.43,4,22.54,24,114.96,116,3.06,5,67.81,65,41.87,53,16.51,106,47,20,3.94,5.69,8.01,5,8,3,47,0,0,2008,Miikka Kiprusoff2008,7
2008,8462147,2008,Miikka Kiprusoff,CGY,G,all,76,265079,189.46,209,3697,145.14,146,478.79,499,2118.21,2155,74.32,68,1195.19,920,897.98,1157,180.78,2260,561,170,63.63,66.79,59.04,73,77,59,706,2,1,2008,Miikka Kiprusoff2008,7
2008,8462147,2008,Miikka Kiprusoff,CGY,G,5on5,76,198015,114.17,138,2601,95.41,99,357.49,360,1502.62,1521,55.7,50,836.44,614,653.89,859,110.35,1658,370,81,46.77,44.1,23.31,60,49,29,492,2,1,2008,Miikka Kiprusoff2008,7
2008,8462147,2008,Miikka Kiprusoff,CGY,G,4on5,76,27613,49.3,42,749,37.25,37,87.93,102,418.98,428,1.81,2,264.69,224,141.99,182,45.65,422,115,59,10.73,13.58,24.98,4,14,24,153,0,0,2008,Miikka Kiprusoff2008,7
2008,8462147,2008,Miikka Kiprusoff,CGY,G,5on4,76,29964,7.91,12,118,3.75,6,9.75,12,76.77,83,13.65,11,23.72,16,57.65,58,7.83,68,27,10,1.94,3.23,2.74,3,6,3,13,0,0,2008,Miikka Kiprusoff2008,7
2008,8468166,2008,Curtis Sanford,VAN,G,other,19,2386,7.72,8,74,2.9,4,6.84,7,37.58,32,1.23,1,23.21,17,10.94,16,6.74,29,13,11,0.89,1.49,5.34,1,1,6,21,0,0,2008,Curtis Sanford2008,0
2008,8468166,2008,Curtis Sanford,VAN,G,all,19,58355,40.92,42,846,30.92,27,99.47,81,454.85,448,14.93,15,260.84,209,193.39,270,39.23,499,105,38,14.66,12.5,13.76,17,12,13,204,2,1,2008,Curtis Sanford2008,0
2008,8468166,2008,Curtis Sanford,VAN,G,5on5,19,43310,24.76,26,604,20.81,17,76.29,62,329.4,332,10.22,9,185.7,149,144.22,201,24.18,378,65,21,11.55,7.73,5.48,14,10,2,140,0,0,2008,Curtis Sanford2008,0
2008,8468166,2008,Curtis Sanford,VAN,G,4on5,19,6019,7.11,7,136,6.37,5,13.85,10,70.06,69,0.33,1,46.2,37,24.11,38,6.98,74,20,6,1.72,2.46,2.94,2,0,5,36,0,0,2008,Curtis Sanford2008,0
2008,8468166,2008,Curtis Sanford,VAN,G,5on4,19,6640,1.33,1,32,0.84,1,2.49,2,17.81,15,3.15,4,5.73,6,14.11,15,1.32,18,7,0,0.5,0.83,0,0,1,0,7,2,1,2008,Curtis Sanford2008,0
2008,8474488,2008,Matt Climie,DAL,G,other,3,40,0.02,0,2,0.04,0,0.18,0,0.7,1,0,0,0.37,0,0.37,1,0.02,1,0,0,0.02,0,0,0,0,0,1,0,0,2008,Matt Climie2008,0
2008,8474488,2008,Matt Climie,DAL,G,all,3,11056,8.65,9,160,6.43,7,19.61,10,91.09,85,2.72,2,53.25,43,36.09,57,7.92,97,23,7,3.01,2.92,2.72,3,4,2,33,0,0,2008,Matt Climie2008,0
2008,8474488,2008,Matt Climie,DAL,G,5on5,3,8931,5.32,5,116,4.32,6,15.09,8,65.9,67,2.23,1,37.37,26,27.71,47,5.21,73,16,3,2.44,2.11,0.77,3,1,1,24,0,0,2008,Matt Climie2008,0
2008,8474488,2008,Matt Climie,DAL,G,4on5,3,1414,2.99,4,38,1.94,1,3.77,2,21.53,14,0.12,0,14.21,16,6.41,6,2.36,20,7,3,0.48,0.81,1.7,0,3,1,8,0,0,2008,Matt Climie2008,0
2008,8474488,2008,Matt Climie,DAL,G,5on4,3,671,0.25,0,1,0.04,0,0.07,0,0.83,1,0.23,1,0.2,0,0.41,1,0.25,0,0,1,0,0,0.25,0,0,0,0,0,0,2008,Matt Climie2008,0
2008,8473461,2008,Steve Mason,CBJ,G,other,61,8453,12.5,11,228,8.54,9,24.94,16,120.75,137,2.33,1,68.88,72,49.48,61,11.59,128,35,12,3.95,4.2,4.35,4,3,4,53,0,0,2008,Steve Mason2008,0
2008,8473461,2008,Steve Mason,CBJ,G,all,61,219711,134.99,140,3023,106.17,93,354.45,279,1580.03,1658,50.86,76,901.49,834,672.15,864,130.99,1782,391,105,51.47,46.88,36.64,50,50,40,745,2,1,2008,Steve Mason2008,0
2008,8473461,2008,Steve Mason,CBJ,G,5on5,61,167415,82.25,86,2109,70.08,64,261.47,213,1115.85,1162,38.22,59,628.9,560,486.15,633,80.31,1283,264,51,38.07,31.15,13.04,40,34,12,511,2,1,2008,Steve Mason2008,0
2008,8473461,2008,Steve Mason,CBJ,G,4on5,61,22710,36.32,37,606,25.43,19,61.77,48,298.6,311,1.22,2,189.75,184,100.94,136,35.25,327,74,40,8.3,9.26,18.76,3,10,24,165,0,0,2008,Steve Mason2008,0
2008,8473461,2008,Steve Mason,CBJ,G,5on4,61,21133,3.65,5,73,1.98,1,5.52,2,41.79,44,8.92,14,12.57,18,34.1,31,3.58,40,17,2,1.02,2.13,0.51,2,3,0,14,0,0,2008,Steve Mason2008,0
2008,8462047,2008,Martin Biron,PHI,G,other,55,8309,12.59,9,186,7.15,6,20.94,26,100.45,103,2.37,1,57.11,57,40.02,42,11.59,98,35,13,3.63,3.96,5,4,1,4,40,0,0,2008,Martin Biron2008,0
2008,8462047,2008,Martin Biron,PHI,G,all,55,189391,143.13,146,3178,113.94,116,395.38,421,1694.58,1718,48.6,41,949.06,772,715.07,872,137.08,1876,364,139,51.95,44.03,47.15,55,43,48,799,0,0,2008,Martin Biron2008,0
2008,8462047,2008,Martin Biron,PHI,G,5on5,55,143716,94.8,108,2376,78.3,84,304.61,321,1255.31,1293,36.42,33,690.76,551,542.36,655,92.1,1411,258,84,40.51,31.21,23.08,47,34,27,623,0,0,2008,Martin Biron2008,0
2008,8462047,2008,Martin Biron,PHI,G,4on5,55,20966,33.07,27,546,26.86,25,64.54,69,302.2,288,1.72,0,189.42,157,102.03,139,30.81,323,63,40,6.54,7.96,18.57,3,7,17,120,0,0,2008,Martin Biron2008,0
2008,8462047,2008,Martin Biron,PHI,G,5on4,55,16400,2.39,1,60,1.47,1,4.62,5,33.7,30,7.98,7,10.4,6,29.13,34,2.3,40,7,2,1.1,0.79,0.5,0,1,0,11,0,0,2008,Martin Biron2008,0
2008,8470266,2008,Tobias Stephan,DAL,G,other,10,2569,1.6,3,19,0.61,0,2.02,5,9.84,11,0.17,0,5.68,3,3.81,4,1.6,11,1,3,0.33,0.13,1.14,2,1,0,4,0,0,2008,Tobias Stephan2008,0
2008,8470266,2008,Tobias Stephan,DAL,G,all,10,26272,18.55,27,338,13.33,8,41.17,45,190.37,208,5.54,6,106.58,62,80.54,120,18.19,195,61,12,6.7,7.37,4.48,11,12,4,70,0,0,2008,Tobias Stephan2008,0
